population,resistance,competitor,treatment,predator,initial_proportion,final_proportion,rel_fitness,subclone
1,s,er1,coevolved predator,mx1,0.542643808,0.679864079,1.789894362,1
2,r,es1,coevolved predator,mx2,0.432905772,0.641337626,2.342409128,1
3,s,er2,coevolved predator,mx3,0.490784414,0.409740202,0.720238443,2
4,r,es2,coevolved predator,mx4,0.475254193,0.568080471,1.452212059,2
5,s,er3,coevolved predator,mx5,0.482837621,0.468730222,0.945004046,3
6,r,es3,coevolved predator,mx6,0.569904434,0.574862094,1.020461849,3
7,s,er1,coevolved predator,mx7,0.499686156,0.635607452,1.746484342,1
8,r,es1,coevolved predator,mx8,0.584266024,0.661115598,1.388131823,1
9,s,er2,coevolved predator,mx9,0.510056898,0.525100798,1.062106974,2
10,r,es2,coevolved predator,mx10,0.453015926,0.73854165,3.410622774,2
11,s,er3,coevolved predator,mx11,0.457920858,0.45104925,0.972664025,3
12,r,es3,coevolved predator,mx12,0.54603388,0.490066225,0.798996443,3
1,s,er1,control predator,ms2,0.542643808,0.715005159,2.114520444,1
2,r,es1,control predator,mr2,0.432905772,0.641124055,2.340235556,1
3,s,er2,control predator,ms2,0.490784414,0.455602322,0.868321572,2
4,r,es2,control predator,mr2,0.475254193,0.638837572,1.953038957,2
5,s,er3,control predator,ms2,0.482837621,0.471641359,0.956112268,3
6,r,es3,control predator,mr2,0.569904434,0.603409216,1.148238886,3
7,s,er1,control predator,ms2,0.499686156,0.618474267,1.623091495,1
8,r,es1,control predator,mr2,0.584266024,0.568023392,0.935644519,1
9,s,er2,control predator,ms2,0.510056898,0.684595206,2.084935316,2
10,r,es2,control predator,mr2,0.453015926,0.759517918,3.813436439,2
11,s,er3,control predator,ms2,0.457920858,0.428799817,0.888665918,3
12,r,es3,control predator,mr2,0.54603388,0.662564683,1.632456432,3
1,s,er1,ancestral predator,anc,0.542643808,0.70158989,1.981570376,1
2,r,es1,ancestral predator,anc,0.432905772,0.61976783,2.135217018,1
3,s,er2,ancestral predator,anc,0.490784414,0.46927625,0.917425861,2
4,r,es2,ancestral predator,anc,0.475254193,0.579471575,1.521457413,2
5,s,er3,ancestral predator,anc,0.482837621,0.48435439,1.0060921,3
6,r,es3,ancestral predator,anc,0.569904434,0.607183382,1.166522054,3
7,s,er1,ancestral predator,anc,0.499686156,0.646206649,1.828803139,1
8,r,es1,ancestral predator,anc,0.584266024,0.652845371,1.338111352,1
9,s,er2,ancestral predator,anc,0.510056898,0.658656851,1.853510476,2
10,r,es2,ancestral predator,anc,0.453015926,0.736919472,3.382147462,2
11,s,er3,ancestral predator,anc,0.457920858,0.487192473,1.124652751,3
12,r,es3,ancestral predator,anc,0.54603388,0.58518565,1.172853445,3
1,s,er1,coevolved predator,mx1,0.624062826,0.593370962,0.879052593,1
2,r,es1,coevolved predator,mx2,0.444471692,0.669774393,2.535011186,1
3,s,er2,coevolved predator,mx3,0.536871651,0.411466307,0.603106267,2
4,r,es2,coevolved predator,mx4,0.493547991,0.584571833,1.443945681,2
5,s,er3,coevolved predator,mx5,0.50234346,0.552934185,1.225267577,3
6,r,es3,coevolved predator,mx6,0.484757621,0.670787721,2.165688599,3
7,s,er1,coevolved predator,mx7,0.601156983,0.602296474,1.004766105,1
8,r,es1,coevolved predator,mx8,0.518514303,0.643923957,1.679246601,1
9,s,er2,coevolved predator,mx9,0.586525041,0.601316778,1.063256427,2
10,r,es2,coevolved predator,mx10,0.466312508,0.778039845,4.011776951,2
11,s,er3,coevolved predator,mx11,0.414612609,0.443792108,1.126531361,3
12,r,es3,coevolved predator,mx12,0.527409429,0.470588235,0.796497908,3
1,s,er1,control predator,ms2,0.624062826,0.648730865,1.112529483,1
2,r,es1,control predator,mr2,0.444471692,0.662300702,2.451247396,1
3,s,er2,control predator,ms2,0.536871651,0.59400545,1.262121369,2
4,r,es2,control predator,mr2,0.493547991,0.720997722,2.651765116,2
5,s,er3,control predator,ms2,0.50234346,0.534381791,1.136974327,3
6,r,es3,control predator,mr2,0.484757621,0.602315469,1.609801213,3
7,s,er1,control predator,ms2,0.601156983,0.521478216,0.723017076,1
8,r,es1,control predator,mr2,0.518514303,0.714169016,2.320140846,1
9,s,er2,control predator,ms2,0.586525041,0.75840615,2.212985792,2
10,r,es2,control predator,mr2,0.466312508,0.811062833,4.913003356,2
11,s,er3,control predator,ms2,0.414612609,0.331419486,0.699882578,3
12,r,es3,control predator,mr2,0.527409429,0.500862467,0.899156779,3
1,s,er1,ancestral predator,anc,0.624062826,0.621293632,0.988282837,1
2,r,es1,ancestral predator,anc,0.444471692,0.596817063,1.850125439,1
3,s,er2,ancestral predator,anc,0.536871651,0.516024884,0.919768445,2
4,r,es2,ancestral predator,anc,0.493547991,0.492709806,0.996652242,2
5,s,er3,ancestral predator,anc,0.50234346,0.573327516,1.331181007,3
6,r,es3,ancestral predator,anc,0.484757621,0.584584413,1.495723699,3
7,s,er1,ancestral predator,anc,0.601156983,0.547010524,0.801164442,1
8,r,es1,ancestral predator,anc,0.518514303,0.594883311,1.36356015,1
9,s,er2,ancestral predator,anc,0.586525041,0.882361911,5.287634724,2
10,r,es2,ancestral predator,anc,0.466312508,0.828174755,5.516263149,2
11,s,er3,ancestral predator,anc,0.414612609,0.513162666,1.488236787,3
12,r,es3,ancestral predator,anc,0.527409429,0.575144805,1.213035277,3
1,s,er1,coevolved predator,mx1,0.497874267,0.483063945,0.942454947,1
2,r,es1,coevolved predator,mx2,0.473391531,0.59291824,1.620244375,1
3,s,er2,coevolved predator,mx3,0.526435702,0.564362851,1.165378846,2
4,r,es2,coevolved predator,mx4,0.49169163,0.603760775,1.575222384,2
5,s,er3,coevolved predator,mx5,0.538898956,0.542888098,1.016193832,3
6,r,es3,coevolved predator,mx6,0.488169314,0.627490863,1.766144853,3
7,s,er1,coevolved predator,mx7,0.492748356,0.586599595,1.460727281,1
8,r,es1,coevolved predator,mx8,0.543561847,0.696313327,1.92536001,1
9,s,er2,coevolved predator,mx9,0.508978921,0.614347097,1.536800684,2
10,r,es2,coevolved predator,mx10,0.507588774,0.748702947,2.890267796,2
11,s,er3,coevolved predator,mx11,0.517278313,0.738595271,2.636729768,3
12,r,es3,coevolved predator,mx12,0.539179351,0.434782609,0.657438795,3
1,s,er1,control predator,ms2,0.497874267,0.794176105,3.891471213,1
2,r,es1,control predator,mr2,0.473391531,0.614464463,1.772963155,1
3,s,er2,control predator,ms2,0.526435702,0.481541734,0.835514032,2
4,r,es2,control predator,mr2,0.49169163,0.672842458,2.126135298,2
5,s,er3,control predator,ms2,0.538898956,0.522696786,0.937010018,3
6,r,es3,control predator,mr2,0.488169314,0.547231941,1.267218488,3
7,s,er1,control predator,ms2,0.492748356,0.631956497,1.767609418,1
8,r,es1,control predator,mr2,0.543561847,0.567261369,1.100754616,1
9,s,er2,control predator,ms2,0.508978921,0.744725738,2.81442496,2
10,r,es2,control predator,mr2,0.507588774,0.782312548,3.486284597,2
11,s,er3,control predator,ms2,0.517278313,0.401866498,0.626983647,3
12,r,es3,control predator,mr2,0.539179351,0.626924047,1.436204724,3
1,s,er1,ancestral predator,anc,0.497874267,0.781057664,3.597875652,1
2,r,es1,ancestral predator,anc,0.473391531,0.645481156,2.025403699,1
3,s,er2,ancestral predator,anc,0.526435702,0.511769172,0.942936705,2
4,r,es2,ancestral predator,anc,0.49169163,0.57031561,1.372145381,2
5,s,er3,ancestral predator,anc,0.538898956,0.556738149,1.07468055,3
6,r,es3,ancestral predator,anc,0.488169314,0.521798003,1.144054913,3
7,s,er1,ancestral predator,anc,0.492748356,0.700625439,2.409180212,1
8,r,es1,ancestral predator,anc,0.543561847,0.578098327,1.150597533,1
9,s,er2,ancestral predator,anc,0.508978921,0.804086896,3.959495363,2
10,r,es2,ancestral predator,anc,0.507588774,0.730039094,2.623379844,2
11,s,er3,ancestral predator,anc,0.517278313,0.661984622,1.827611918,3
12,r,es3,ancestral predator,anc,0.539179351,0.548075798,1.036510497,3
1,s,er1,no predator,no predator,0.513040625,0.548569312,1.153403873,1
3,s,er2,no predator,no predator,0.52586146,0.456235943,0.756506937,2
4,r,es2,no predator,no predator,0.493295763,0.50037153,1.028709059,2
5,s,er3,no predator,no predator,0.519998544,0.50035401,0.924390355,3
6,r,es3,no predator,no predator,0.494165571,0.649870062,1.899910684,3
7,s,er1,no predator,no predator,0.492734183,0.347719352,0.548804006,1
8,r,es1,no predator,no predator,0.486002921,0.412205441,0.741668663,1
9,s,er2,no predator,no predator,0.517987424,0.687771956,2.049801038,2
10,r,es2,no predator,no predator,0.499878491,0.351899177,0.543233771,2
11,s,er3,no predator,no predator,0.518157907,0.310864239,0.419477416,3
12,r,es3,no predator,no predator,0.495811709,0.612711175,1.60878057,3
1,s,er1,no predator,no predator,0.519599972,0.582913705,1.292147976,1
2,r,es1,no predator,no predator,0.508680353,0.408428691,0.666850233,1
3,s,er2,no predator,no predator,0.515495968,0.364887254,0.539982876,2
4,r,es2,no predator,no predator,0.514999421,0.519339333,1.017532167,2
5,s,er3,no predator,no predator,0.534206032,0.479202788,0.80229809,3
6,r,es3,no predator,no predator,0.507143038,0.556182829,1.217878332,3
7,s,er1,no predator,no predator,0.505754749,0.437140887,0.758969394,1
8,r,es1,no predator,no predator,0.502943447,0.344461206,0.519312253,1
9,s,er2,no predator,no predator,0.51828447,0.509574577,0.96573335,2
10,r,es2,no predator,no predator,0.501679395,0.526160561,1.102985156,2
11,s,er3,no predator,no predator,0.516340301,0.235217018,0.288094125,3
12,r,es3,no predator,no predator,0.493005007,0.430429314,0.777153043,3
1,s,er1,no predator,no predator,0.508372068,0.552164003,1.19235056,1
2,r,es1,no predator,no predator,0.510904634,0.50655796,0.98275826,1
3,s,er2,no predator,no predator,0.51850326,0.276961707,0.355713451,2
4,r,es2,no predator,no predator,0.521225326,0.484495841,0.863303575,2
5,s,er3,no predator,no predator,0.51491885,0.523669908,1.035679089,3
6,r,es3,no predator,no predator,0.545180784,0.454878971,0.696147374,3
7,s,er1,no predator,no predator,0.502822175,0.520094633,1.071578751,1
8,r,es1,no predator,no predator,0.499543529,0.512990781,1.055274271,1
9,s,er2,no predator,no predator,0.505442334,0.488143375,0.933134819,2
10,r,es2,no predator,no predator,0.50771769,0.596073149,1.430832412,2
11,s,er3,no predator,no predator,0.527026327,0.313919503,0.410627358,3
12,r,es3,no predator,no predator,0.556227122,0.420509679,0.578946462,3